Data;Sistema;Categoria;Unidade;Descrição do Problema;Qtd. de Pedidos;Analista;Tempo;Ticket;Ferramenta Ofensora;Impacto Financeiro;Importante para SDG?
26/11/2023;Promax;Execução PWPE0139;"[""Todas as GEOs""]";Execução PWPE0139 - Tipo de RoadShow ;;Andrei;00:30;;;;False
26/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Andrei;00:40;;;;False
25/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SUL""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
25/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO CO""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
25/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO NO""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
25/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO BA""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
25/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SP""]";Robô não marcou, mapas pendentes.;;Bruna;00:20;;;;False
25/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcar CDDs sem Faturamento;;Jucyelle;00:30;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Curitiba""]";Identificamos 2 pedidos (2702/2832) com ststus reprogramado que apareceu no BI como orfão (pois estava com o status errado na consulta de pedidos);2;Jucyelle;00:02;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Contagem""]";Identificamos 5 pedidos (161367/168754/172137/172139/172140) com ststus reprogramado que apareceu no BI como orfão (pois estava com o status errado na consulta de pedidos);5;Jucyelle;00:05;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Nova Iguacu""]";Identificamos 1 pedido (385716) no BI que constavam com status de registrado mas na verdade estava cancelado (Atualizamos o status do mesmo na cora);1;Jucyelle;00:01;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Joao Pessoa (Paraiba)""]";Identificamos 1 pedido (247970) no BI que constavam com status de registrado mas na verdade estava cancelado (Atualizamos o status do mesmo na cora);1;Jucyelle;00:05;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Camboriu""]";Identificamos 1 pedido (247970) no BI que constavam com status de registrado mas na verdade estava cancelado (Atualizamos o status do mesmo na cora);1;Jucyelle;00:05;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Salvador""]";Identificamos 2 pedidos (312622/312623) no BI que constavam com status de registrado mas na verdade estavam cancelados (Atualizamos o status do mesmo na cora);2;Jucyelle;00:05;;;;False
25/11/2023;Cora;Pedidos Orfãos;"[""Barueri""]";Identificamos 2 pedidos (203927/203928) no BI que constavam com status de registrado mas na verdade estavam cancelados (Atualizamos o status do mesmo na cora);2;Jucyelle;00:05;;;;False
25/11/2023;Promax;NFs com Erro de Processamento;"[""Vitoria (Viana)""]";NFs com erro de processamento;;Jucyelle;00:05;;;;False
24/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza preventiva de fila de impressão;;Bruna;00:20;;;;False
24/11/2023;Promax;Erro Att. Diária;"[""Londrina""]";Atualização diária não iniciava, foi necessário rodar manual;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SP""]";Fechado mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO MG""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO RJ""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO PR""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO CO""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SUL""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO NO""]";Robô não marcou, mapas pendentes.;;Bruna;00:10;;;;False
24/11/2023;Promax;Limpeza de Mapa;"[""Salvador""]";Limpeza de mapa;;Felipe;00:05;INC4102116;;;False
24/11/2023;Promax;Limpeza de Mapa;"[""Diadema""]";Limpeza de mapa;;Felipe;00:05;INC4102065;;;False
24/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcar Unidades sem Faturamento;;Jucyelle;00:35;;;;False
24/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza fila de impressão;;Andrei;00:20;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO NO""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO CO""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
24/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SUL""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
23/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO BA""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
23/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO PR""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
23/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO MG""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
23/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO RJ""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
23/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SP""]";Robô não marcou, mapas pendentes.;;Andrei;00:10;;;;False
23/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Andrei;00:30;;;;False
23/11/2023;Cora;Pedidos Orfãos;"[""Varginha""]";Pedido com status “Enviado HUB de faturamento”, placa já faturada.;21;Andrei;01:00;;Cora;R$ 41.355,56;False
23/11/2023;Cora;Pedidos Orfãos;"[""Santa Luzia""]";Pedidos com status “Enviado HUB de faturamento”, placa já faturada.;28;Andrei;01:00;;Cora;R$ 6.284,74;False
23/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza fila de impressão ;;Andrei;00:20;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO NO""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO CO""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SUL""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO BA""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO PR""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO MG""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO RJ""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SP""]";Marcação pendente;;Andrei;00:10;;;;False
22/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Jaquiel;00:45;;;;False
22/11/2023;Cora;Atualizar Painel de Faturamento;"[""Todas as GEOs""]";Ofensores;;Andrei;00:15;;;;False
22/11/2023;Cora;Pedido Sem Faturar;"[""Macacu"",""Pirai""]";Pedidos não criados Promax;650;Madlyn;02:00;INC4084236;Cora;;False
22/11/2023;Cora;Pedido Sem Faturar;"[""GEO SP""]";Placa sem faturar ESF9F35. Realizado faturamento manual;;Monique;00:30;;Cora;;False
21/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza preventiva de fila de impressão;;Bruna;00:20;;;;False
21/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Jaquiel;00:40;;;;False
21/11/2023;Promax;Erro Att. Diária;"[""Joao Pessoa (Paraiba)""]";Erro na PW00037S - Emissão de Vale;;Bruna;00:05;;;;False
21/11/2023;Promax;Flag Pen. Log/Fin;"[""Blumenau""]";Emissão OCT pendente;;Bruna;00:05;;;;False
21/11/2023;Promax;Flag Pen. Log/Fin;"[""Ipatinga""]";Emissão 2a via contingência;;Bruna;00:05;;;;False
21/11/2023;Promax;Flag Pen. Log/Fin;"[""Contagem""]";Emissão 2a via contingência;;Bruna;00:05;;;;False
21/11/2023;Promax;Flag Pen. Log/Fin;"[""Manaus""]";Emissão de OCT pendente;;Bruna;00:05;;;;False
21/11/2023;Promax;Flag Pen. Log/Fin;"[""Salvador""]";Emissão 2a via contingência;;Bruna;00:05;;;;False
21/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcação atualização diaria;;Louise;00:30;;;;False
20/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza preventiva fila de impressão;;Felipe;00:20;;;;False
20/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Jaquiel;00:40;;;;False
20/11/2023;Promax;Flag Pen. ROAD;"[""Santa Luzia""]";Flag com X;;Bruna;00:05;;;;False
20/11/2023;Promax;Limpeza de Mapa;"[""Salvador""]";Robô não limpou;;Jaquiel;00:05;INC4066810;;;False
20/11/2023;Promax;Limpeza de Mapa;"[""Feira de Santana""]";Limpeza de mapa;;Bruna;00:05;INC4066809;;;False
20/11/2023;Promax;Limpeza de Mapa;"[""Salvador""]";Limpeza de mapa;;Felipe;00:05;INC4066708;;;False
20/11/2023;Cora;Pedido Sem Faturar;"[""Pelotas""]";82 Pedidos com Condição de Pagamento zerada. ;82;Jaquiel;01:15;INC4066511;Promax;R$ 72.359,81;False
20/11/2023;Cora;Pedidos Orfãos;"[""Porto Alegre""]";Pedidos Órfãos no Painel Cora com Status Roterizado e Reprogramados.;;Jaquiel;00:15;;;;False
20/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcar Unidades sem faturamento ;;Jucyelle;00:35;;;;False
20/11/2023;Promax;Limpeza de Mapa;"[""Lapa""]";Limpeza de mapa ;;Jucyelle;00:02;INC4066202;;;False
20/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza preventiva de fila de impressão;;Bruna;00:20;;;;False
19/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Iniciar e acompanhar cargas;;Felipe;00:20;;;;False
19/11/2023;Promax;Limpeza de Mapa;"[""Santa Luzia""]";Limpeza de mapa;;Felipe;00:05;INC4061127;;;False
19/11/2023;Promax;Execução PWPE0139;"[""Todas as GEOs""]";PWPE0139 - tipo road - Domingo;;Felipe;00:15;;;;False
19/11/2023;Promax;Limpeza de Mapa;"[""Campos""]";Limpeza de mapa;;Felipe;00:05;INC4060768;;;False
19/11/2023;Promax;Limpeza de Mapa;"[""Natal""]";Limpeza de mapa;;Felipe;00:05;INC4060784;;;False
19/11/2023;Promax;Limpeza de Mapa;"[""Maraba""]";Limpeza de mapa;;Felipe;00:05;INC4060841;;;False
19/11/2023;Promax;Limpeza de Mapa;"[""Caruaru""]";Limpeza de mapa;;Felipe;00:05;INC4060854;;;False
19/11/2023;Promax;Limpeza de Mapa;"[""Macacu""]";Limpeza de mapa;;Bruna;00:05;INC4060940;;;False
18/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcação atualização diaria;;Louise;00:30;;;;False
18/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza fila de impressão;;Andrei;00:20;;;;False
17/11/2023;Promax;Flag CDD S/ Fat;"[""GEO CO""]";Flag Unidades Sem fat;;Jaquiel;00:10;;;;False
17/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcação atualização diaria;;Louise;00:30;;;;False
17/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO NO""]";Robo não marcou;;Andrei;00:10;;;;False
17/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO CO""]";Robo não marcou;;Andrei;00:10;;;;False
17/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO BA""]";Robo não marcou;;Andrei;00:10;;;;False
17/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO RJ""]";Robo não marcou;;Andrei;00:10;;;;False
17/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SP""]";Robo não marcou;;Andrei;00:10;;;;False
17/11/2023;Promax;Erro Att. Diária;"[""GEO CO""]";Processo Travado, atualizações paradas. ;;Andrei;00:15;;;;False
17/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Jaquiel;00:45;;;;False
17/11/2023;Promax;Limpeza de Mapa;"[""Brasilia BR (Gama)""]";Robô não limpou;;Jaquiel;00:05;INC4055877;;;False
17/11/2023;Promax;Limpeza de Mapa;"[""Diadema""]";Robô não limpou;;Jaquiel;00:05;INC4055774;;;False
17/11/2023;Promax;Limpeza de Mapa;"[""Salvador""]";Robô não limpou;;Jaquiel;00:05;INC4055940;;;False
17/11/2023;Promax;Limpeza de Mapa;"[""Santa Luzia""]";Robô não limpou;;Jaquiel;00:05;INC4056185;;;False
17/11/2023;Cora;Pedidos Orfãos;"[""Maraba""]";Pedido 251157 orfão no BI mas o status correto seria reprogramado.;1;Jucyelle;00:10;;;;False
16/11/2023;Promax;Limpeza de Mapa;"[""Salvador""]";Limpeza de mapa;;Felipe;00:05;INC4048001;;;False
16/11/2023;Promax;Limpeza de Mapa;"[""Porto Alegre""]";Limpeza de mapa;;Felipe;00:05;INC4048002;;;False
16/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar cargas;;Felipe;00:15;;;;False
16/11/2023;Cora;Pedido Sem Faturar;"[""Barueri""]";Identificamos que 1 Pedido de venda n°191678 não foi faturado devido estar vinculado a uma solicitação de comodato n°39795 que não virou pedido de comodato. Unidade afetada: Barueri ;1;Felipe;00:20;;;;False
16/11/2023;Promax;Flag Pen. Log/Fin;"[""Norte""]";Emissão de Vale;;Bruna;00:05;;;;False
16/11/2023;Promax;Limpeza de Mapa;"[""Cachoeiro""]";Limpeza de mapa;;Jucyelle;00:05;INC4047604;;;False
16/11/2023;Cora;Pedidos Orfãos;"[""Campos""]";Pedido 102979 orfão no BI mas o status correto seria reprogramado. ;1;Jucyelle;00:05;;;;False
16/11/2023;Promax;Limpeza de Mapa;"[""Imperatriz""]";Limpeza de Mapa;;Jucyelle;00:10;INC4047519;;;False
16/11/2023;Promax;Flag CDD S/ Fat;"[""Todas as GEOs""]";Marcação de atualização diária das unidades sem FAT;;Marcela;00:20;;;;False
15/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza preventiva de fila de impressão;;Bruna;00:15;;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Brasilia XB""]";Limpeza de mapa;;Bruna;00:05;INC4038459;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Maua""]";Limpeza de mapa;;Bruna;00:05;INC4038381;;;False
15/11/2023;Promax;Flag Pen. Log/Fin;"[""Manaus""]";Impressão de OCT pendente;;Bruna;00:05;;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Salvador""]";Limpeza de mapa;;Bruna;00:05;INC4038137;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Diadema""]";Limpeza de mapa;;Bruna;00:05;INC4038123;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Maceio""]";Limpeza de mapa (robô não limpou);;Jucyelle;00:05;INC4038100;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Cabo""]";Limpeza de mapa (robô não limpou);;Jucyelle;00:05;INC4038014;;;False
15/11/2023;Cora;Pedidos Orfãos;"[""Cabo""]";Pedidos orfãos que o BI não atualizou e constavam como reprogramados 125744/130954/485967;3;Jucyelle;00:07;;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Foz do Iguacu""]";Limpeza de Mapa (robô não limpou);;Jucyelle;00:05;INC4037908;;;False
15/11/2023;Promax;Limpeza de Mapa;"[""Nova Friburgo""]";Limpeza de Mapa (robô não limpou);;Jucyelle;00:05;INC4037849;;;False
15/11/2023;Cora;Pedido Sem Faturar;"[""Cebrasa""]";Identificamos que os 28 pedidos de AS da placa AJX7406 que não foram faturados devido ao item 18750 dos pedidos constar sem o seu preço vigente. Conforme validado no log PW01584S. ;28;Jucyelle;00:30;;Promax;;False
15/11/2023;Promax;Flag CDD S/ Fat;"[""GEO NO""]";Marcar Unidade Sem faturamento GEO NO;;Jucyelle;00:05;;;;False
15/11/2023;Promax;Flag CDD S/ Fat;"[""CDDs S/ Fat""]";Marcação atualização diaria;;Louise;00:20;;;;False
15/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO SP""]";Robô não marcou;;Andrei;00:05;;;;False
15/11/2023;Promax;Carga Pocket;"[""Todas as GEOs""]";Verificar Cargas;;Jaquiel;00:45;;;;False
14/11/2023;Promax;Limpeza Fila de Impressão;"[""Todas as GEOs""]";Limpeza preventiva de fila de impressão;;Bruna;00:15;;;;False
14/11/2023;Promax;Flag Pen. Log/Fin;"[""GEO CO""]";Robô não marcou;;Andrei;00:05;;;;False
